what,kind,bundleId,bundleVersion,description,time
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1415007730828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007750640
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007751984
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415007766046
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415007766078
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1415007766156
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415007768000
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1415007778968
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1415007780515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007781656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007802718
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415007806468
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415007811312
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415007813359
opened,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1415007819734
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1415007819781
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007832843
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007833703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007833843
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007836015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007836015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007837765
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007841953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007845671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007868015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007869828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007894671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415007972093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008000453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008021765
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008076265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008096250
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008121109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008130843
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008144468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008152921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008167125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008168781
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008258515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008260578
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008260734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008263484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008263484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008269875
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415008274343
opened,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1415008284078
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1415008284109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008294250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008314796
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008314828
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008316875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008316890
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008321968
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008329484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008530515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008542781
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008556531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008556562
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008558703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008558718
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008560546
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1415008565359
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008567593
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008572609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008578734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1415008584984
